title,description,instructions,ingredients,photo_url,vegan,keto
"Grandma's Eggless, Butterless, Milkless Cake","You can get a moist chocolate cake without eggs, butter, or milk thanks to this recipe, tested by Grandma and approved by all who try it.","['In a large bowl, combine all the dry ingredients together.'
 'Combine all the wet ingredients together in another bowl.'
 'Pour the liquid ingredients all at once into the dry ingredients, and beat until smooth.'
 'Pour batter into a greased 9 x 13 inch pan.'
 ""Bake in a preheated 350 degrees F (175 degrees C) oven for 20-25 minutes. Let cool in pan. When cool sprinkle with confectioners' sugar.""]","['3 cups all-purpose flour' '2 cups white sugar'
 '6 tablespoons unsweetened cocoa powder' '2 teaspoons baking soda'
 '2 teaspoons baking powder' '2/3 cup vegetable oil' '2 cups water'
 '2 tablespoons distilled white vinegar' '2 teaspoons vanilla extract']",http://images.media-allrecipes.com/userphotos/250x250/647082.jpg,True,False
Sweet and Spicy Turkey Rub,This dry rub recipe is an adaptation of a cajun rub recipe I came across. It reduces the salt and replaces it with brown sugar and a couple more savory spices.  It is good for a 12- to 16-pound turkey and should also work well with chicken and pork.,"['Combine brown sugar, garlic powder, red pepper flakes, onion powder, salt, and cumin together in a bowl; stir until well mixed.']","['3 tablespoons brown sugar' '2 tablespoons garlic powder'
 '2 tablespoons red pepper flakes' '2 tablespoons onion powder'
 '1 1/2 tablespoons salt' '1 tablespoon ground cumin']",http://images.media-allrecipes.com/userphotos/560x315/4208707.jpg,True,False
Marinated Mushrooms with Red Bell Peppers,"This is perfect for a buffet or as a football appetizer menu addition. I make these a couple of days ahead and store them in a glass jar. Even non-mushroom-eaters like this one. On occasion, I kick this up by adding 1/8 teaspoon red pepper flakes instead of the black pepper.","['Combine the vinegar, water, oil, sugar, onion, parsley, basil, garlic, salt, and pepper; bring to a boil. Stir in the mushrooms and red bell pepper; return mixture to a boil; reduce heat and simmer until the mushrooms are tender, 5 to 10 minutes. Remove from heat and allow to cool to room temperature. Transfer to a covered container and store in refrigerator at least 4 hours before serving.']","['1/2 cup red wine vinegar' '1/3 cup water' '2 tablespoons corn oil'
 '1 teaspoon white sugar' '1 tablespoon chopped onion'
 '1 tablespoon chopped fresh parsley' '1/2 teaspoon dried basil'
 '2 cloves garlic, minced' '1/4 teaspoon salt'
 '1/4 teaspoon fresh ground black pepper'
 '2 (16 ounce) packages fresh mushrooms, stems removed'
 '1/2 red bell pepper, diced']",http://images.media-allrecipes.com/userphotos/250x250/99439.jpg,True,False
Easy 4-Ingredient Margarita,This margarita is so easy to make and is absolutely refreshing! Add a salted rim and garnish with cilantro to really get the party started!,"['Fill a cocktail shaker with ice; add tequila, agave nectar, lime juice, and lemon juice. Cover shaker, shake vigorously, and pour margarita into a glass.']","['1 cup ice cubes, or as needed' '1/3 cup tequila' '1/3 cup agave nectar'
 '1 lime, juiced' '1/2 lemon, juiced']",http://images.media-allrecipes.com/userphotos/560x315/4480521.jpg,True,False
Two Bowl Cake,"I don't remember when I got this recipe, but it has been a favorite for years.  It's quick, easy and makes a moist cake that keeps well.","['Preheat oven to 350 degrees F (175 degrees C).'
 'In a medium bowl combine the flour, sugar, cocoa, soda, and salt--stir to mix well.'
 'In a large bowl combine water, oil, vinegar, and vanilla. Dump the dry ingredients into the water mixture and stir with a fork until smooth. DO NOT BEAT. Pour batter into an UNGREASED 9x13 inch pan.'
 'Bake at 350 degrees F (175 degrees C) for 35 to 40 minutes.']","['3 cups all-purpose flour' '2 cups white sugar'
 '5 tablespoons unsweetened cocoa powder' '2 teaspoons baking soda'
 '1 teaspoon salt' '2 cups cold water' '2/3 cup vegetable oil'
 '2 tablespoons distilled white vinegar' '1 tablespoon vanilla extract']",http://images.media-allrecipes.com/userphotos/250x250/755244.jpg,True,False
Warm Blueberry Sauce,Warm blueberry sauce with hints of cinnamon and almond. Fresh or frozen blueberries work equally well.,"['In a saucepan over medium heat, combine the blueberries, 1/4 cup of water, orange juice, and SPLENDA(R) Granulated Sweetener. Stir gently, and bring to a boil.'
 'In a cup or small bowl, mix together the cornstarch and 1/4 cup cold water. Gently stir the cornstarch mixture into the blueberries so as not to mash the berries. Simmer gently until thick enough to coat the back of a metal spoon, 3 to 4 minutes. Remove from heat and stir in the almond extract and cinnamon. Thin sauce with water if it is too thick for your liking.']","['2 cups fresh or frozen blueberries' '1/4 cup water' '1 cup orange juice'
 '3/4 cup SPLENDA® No Calorie Sweetener, Granulated' '1/4 cup cold water'
 '3 tablespoons cornstarch' '1/2 teaspoon almond extract'
 '1/8 teaspoon ground cinnamon']",http://images.media-allrecipes.com/userphotos/560x315/1886656.jpg,True,False
Strawberry-Infused Vodka,This simple infusion results in a very fragrant and gently sweetened vodka that makes lovely cocktails. I've no idea how long this will keep because it disappears quickly.,"['Place strawberries in a clean, dry sealable container; add vodka. Seal container and store in a cool, dark area until strawberries lose their color, 3 to 4 days. Remove strawberries and strain vodka into a container.']","['2 pounds strawberries, hulled and quartered' '1 liter vodka']",http://images.media-allrecipes.com/userphotos/560x315/1093658.jpg,True,False
Green Bean Stir-Fry,"Soy sauce and peanut butter flavor these crisp-tender beans. 'They're a nice change from the usual green bean salads and casseroles,' says Robin Joss from Ashburn, Virginia. 'With a sesame seed crunch, this dish always wows guests and brings plenty of recipe requests.'","['In a bowl, combine the soy sauce, garlic, sesame seeds, brown sugar and peanut butter; set aside. In a large skillet, stir-fry the green beans in oil until crisp-tender. Remove from the heat. Add the soy sauce mixture; stir to coat.']","['1 tablespoon soy sauce' '2 garlic cloves, minced'
 '1 teaspoon sesame seeds, toasted' '1 teaspoon brown sugar'
 '1 teaspoon peanut butter' '3/4 pound fresh green beans, trimmed'
 '4 1/2 teaspoons vegetable oil']",http://images.media-allrecipes.com/userphotos/250x250/988192.jpg,True,False
Deliciously Simple Applesauce,Just a plain and simple applesauce to serve with latkes.,"['Place apples in a large saucepan and just barely cover with water. Simmer over medium-low heat until apples are tender, 15 to 20 minutes.'
 'Run cooked apples through a food mill or blender. Stir in the SPLENDA(R) Granulated Sweetener, lemon juice, cinnamon. Cook over medium heat for about 3 to 5 minutes.']","['3 pounds apples - peeled, cored and chopped' '3 cups water'
 '1/4 cup SPLENDA® No Calorie Sweetener, Granulated'
 '1 tablespoon lemon juice' '1 teaspoon ground cinnamon']",http://images.media-allrecipes.com/userphotos/250x250/982783.jpg,True,False
Pecan Butter Balls,These are melt in your mouth goodies.,"['Sift together into a medium sized bowl the flour, sugar and vanilla. Work in the margarine with a spoon or hands until well blended. Add chopped pecans and mix well.'
 ""Shape dough into 1 inch balls and put on ungreased pans. Bake in a preheated 325 degree F (165 degrees C) oven for about 25 minutes or until pale brown. When slightly cool roll or shake in confectioners' sugar. Store in an air tight container.""]","['2 cups all-purpose flour' '1/4 cup white sugar'
 '1/2 teaspoon vanilla extract' '1 cup margarine' '2 cups chopped pecans'
 ""1/3 cup confectioners' sugar for decoration""]",http://images.media-allrecipes.com/userphotos/560x315/4263041.jpg,True,False
Peanut Butter Banana Quesadilla,A light yet satisfying breakfast concoction that incorporates two longtime staples: peanut butter and banana. A perfect start to a relaxing weekend day when coupled with a glass of Moscato and a bowl of chocolate-covered fruit. We suggest eating with your hands.,"['Spread half the peanut butter onto one side of 1 flour tortilla; top with sliced banana. Spread the remaining peanut butter on one side of the other flour tortilla; place tortilla, peanut butter-side down, on top of banana slices.'
 'Spray cooking spray into a skillet and place skillet over medium heat. Place quesadilla into the heated skillet; cook until lightly browned, about 3 minutes per side. Cut quesadillas in half to serve.']","['1/4 cup peanut butter' '2 (8 inch) flour tortillas' '1 banana, sliced'
 'cooking spray']",http://images.media-allrecipes.com/userphotos/560x315/3180714.jpg,True,False
Steamed Rice - Cooking School,"In over half of the world, rice plays a central role in daily meals; cooking rice is a time-honored ritual. Use this recipe to make steamed rice like a pro!","['Stir water, rice, and salt together in a heavy-bottomed pot.'
 'Bring water to a boil, reduce heat to low, cover the pot with a tight-fitting lid, and cook until rice is tender and water is fully absorbed, about 18 minutes.'
 'Remove pot from heat and let stand, covered, for 10 minutes. Fluff rice with a fork.']",['1 1/2 cups water' '1 cup long-grain white rice' '1/2 teaspoon salt'],http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,True,False
Like No Other Pasta Salad,This is a unique and simple pasta salad recipe I got from an old friend. Fresh vegetables such as grape tomatoes make a nice addition. Great for a summer picnic!,"['Bring a large pot of lightly salted water to a boil. Cook penne at a boil until tender yet firm to the bite, about 11 minutes. Drain and rinse under cold water. Transfer to a large bowl.'
 'Blend onion, cucumber, canola oil, vinegar, sugar, garlic powder, salt, mustard, parsley, and pepper in a food processor or blender until smooth, about 2 minutes.'
 'Pour sauce over pasta; toss to coat. Refrigerate 8 hours or overnight.']","['1 (16 ounce) package penne pasta' '1/2 large onion, chopped'
 '1/2 large cucumber, sliced' '1/2 cup canola oil' '1/2 cup white vinegar'
 '1/2 cup white sugar' '1 1/2 teaspoons garlic powder'
 '1 1/2 teaspoons salt' '1 1/2 teaspoons ground mustard'
 '1 1/2 teaspoons dried parsley' '1/2 teaspoon ground black pepper']",http://images.media-allrecipes.com/userphotos/250x250/836019.jpg,True,False
Applesauce,"An easy, quick applesauce recipe. I have doubled it and canned it so we always have some on hand. My family loves it.","['In a 2 quart saucepan over medium heat, combine apples, water, cinnamon, and cloves. Bring to a boil, reduce heat, and simmer 10 minutes. Stir in sugar, and simmer 5 more minutes.']","['6 cups apples - peeled, cored and chopped' '3/4 cup water'
 '1/8 teaspoon ground cinnamon' '1/8 teaspoon ground cloves'
 '1/2 cup white sugar']",http://images.media-allrecipes.com/userphotos/250x250/931907.jpg,True,False
Steak Dry Rub,This dry rub is perfect for grilled steaks and will add amazing flavor to any cut of meat. Extra rub can be stored at room temperature for later use.,"['Mix kosher salt, smoked paprika, onion powder, garlic powder, oregano, black pepper, brown sugar, and cumin together in a sealable container. Seal container and shake to mix.']","['3 tablespoons kosher salt' '3 tablespoons smoked paprika'
 '2 tablespoons onion powder' '2 tablespoons garlic powder'
 '2 tablespoons dried oregano'
 '2 tablespoons coarsely ground black pepper'
 '1 tablespoon light brown sugar' '1 tablespoon ground cumin']",http://images.media-allrecipes.com/userphotos/560x315/4044983.jpg,True,False
Pan De Sal I,Crispy and delicious dinner rolls from the Philippines.,"['Put the warm water in a small mixing bowl and add the yeast and 1 teaspoon of the sugar; stir to dissolve. Let stand until creamy, about 10 minutes.'
 'In a large mixing bowl, combine the remaining 15 teaspoons of sugar and the oil and mix until smooth. Add the salt, 1 cup of flour and the yeast mixture; stir well. Add the remaining 5 cups flour, 1/2 cup at a time, until the dough pulls away from the sides of the bowl.'
 'Turn the dough onto a lightly floured surface and knead until smooth, supple and elastic; about 10 minutes. Lightly oil a large mixing bowl, place the dough in it and turn to coat the dough with oil. Cover with a damp towel or plastic wrap and let sit in a warm place until the dough has doubled in volume; about 1 hour.'
 ""Turn the dough onto a lightly floured surface and divide into 4 equal pieces. Form each piece into a cylinder and roll out until the 'log' is 1/2 inch in diameter. Using a sharp knife, cut each 'log' into 1/2 inch pieces. Place the pieces, flat side down, onto two lightly greased baking sheets. Gently press each roll down to flatten.""
 'Preheat oven to 375 degrees F (190 degrees C).'
 'Cover the rolls with a damp cloth and let rise until doubled in volume, about 30 minutes.'
 'Bake at 375 degrees F (190 degrees C) until golden brown, about 20 minutes.']","['2 cups warm water (110 degrees F/45 degrees C)'
 '2 teaspoons active dry yeast' '1/3 cup white sugar'
 '1/4 cup vegetable oil' '1 1/2 teaspoons salt' '6 cups all-purpose flour']",http://images.media-allrecipes.com/userphotos/560x315/96883.jpg,True,False
Cowboy Dip,I made up this dip years ago and have found through the years that family and friends request this in football season every year.,"['Mix tomatoes, black olives, green chiles, green onions, olive oil, vinegar, and garlic salt in a bowl.']","['2 roma (plum) tomatoes, seeded and chopped'
 '1 (4 ounce) can chopped black olives'
 '1 (4 ounce) can chopped green chilies' '3 green onions, chopped'
 '3 tablespoons olive oil' '1 1/2 tablespoons red wine vinegar'
 '1 teaspoon garlic salt']",http://images.media-allrecipes.com/userphotos/560x315/1052741.jpg,True,False
Microwave Bread-and-Butter Pickles,"Like a bread and butter pickle and really super easy. You can even play with the proportions a bit. I like to increase the vinegar, salt and spices a bit but you could make it sweeter too. Be prepared to make this one over and over if you have any pickle lovers in the house.","['Stir sugar and vinegar in a large microwave-safe bowl until sugar has dissolved; mix in salt, mustard seed, celery seed, and turmeric. Stir cucumbers and onion into the pickling mixture.'
 'Microwave on high, stirring twice, until cucumber slices are tender and onion is translucent, 7 to 8 minutes. Chill before serving.']","['1 cup white sugar' '1/2 cup white vinegar' '1 teaspoon salt'
 '1/2 teaspoon mustard seed' '1/4 teaspoon celery seed'
 '1/4 teaspoon ground turmeric' '2 large English cucumbers, thinly sliced'
 '1 large onion, diced']",http://images.media-allrecipes.com/userphotos/560x315/3535966.jpg,True,False
Habanero Simple Syrup,Habanero simple syrup!,"['Bring water to a boil in a saucepan. Slowly stir sugar into boiling water until sugar is dissolved, 2 to 3 minutes. Add habanero peppers to sugar-water mixture, reduce heat to medium-low, and simmer until syrup is thickened and pepper has slightly colored the syrup, about 15 minutes.'
 'Remove saucepan from heat and let syrup cool, about 1 hour. Remove peppers from syrup and store syrup in a glass jar.']","['1 cup water' '1 cup white sugar' '2 habanero peppers, quartered']",http://images.media-allrecipes.com/userphotos/560x315/1938404.jpg,True,False
Spicy Sweet Potatoes,"My family fell in love with the combination of sweet and spicy in this potato side dish the very first time they tried it. It goes great with poultry...and looks so pretty on the dinner table. I try to serve it often.                                                                     --Lynn Thomas                                                                  London, Ontario","['In a large resealable plastic bag, toss sweet potatoes and oil. Add remaining ingredients; toss to coat. Transfer to a greased 11-in. x 7-in. x 2-in. baking dish. Bake, uncovered, at 400 degrees F for 40-45 minutes or until potatoes are tender, stirring every 15 minutes.']","['3 large sweet potatoes, peeled and cut into 1-inch cubes'
 '2 tablespoons olive or canola oil' '2 tablespoons brown sugar'
 '1 teaspoon chili powder' '1/2 teaspoon salt'
 '1/4 teaspoon cayenne pepper']",http://images.media-allrecipes.com/userphotos/250x250/983979.jpg,True,False
Hummus IV,"A straightforward hummus that may be augmented with roasted red peppers or olives. Serve with crackers, flat breads or on a pita with sprouts for a great light lunch.","['Place garbanzo beans in a food processor and blend into a spreadable paste. Mix in lemon juice, garlic, tahini and crushed red pepper. Blend until smooth, using more lemon juice if consistency is too thick.']","['2 (15.5 ounce) cans garbanzo beans, drained' '4 tablespoons lemon juice'
 '6 cloves garlic, peeled and crushed' '3 tablespoons tahini'
 '1/4 teaspoon crushed red pepper']",http://images.media-allrecipes.com/userphotos/250x250/72131.jpg,True,False
Carolina BBQ Peppers,"These BBQ peppers are always a hit with any crowd. If you don't want them quite as spicy, remove the seeds.","['In a large pot, stir together the corn oil, cider vinegar, sugar, and ketchup until sugar has dissolved completely. Bring to a boil, then add the jalapeno peppers. Reduce heat to low, and simmer for 10 minutes. Season with oregano and garlic.'
 'Ladle into sterile pint jars, leaving 1/4 inch of space at the top. Wipe rims with a clean dry towel. Seal with lids and rings. Process in a hot water bath for 10 minutes to seal. Refrigerate any unsealed jars.']","['2 cups corn oil' '2 cups cider vinegar' '2 cups white sugar'
 '4 cups ketchup' '1 pound fresh jalapeno peppers, sliced into rings'
 '1 pinch dried oregano' '1 clove garlic, minced']",http://images.media-allrecipes.com/userphotos/250x250/881583.jpg,True,False
Southwest Salad,Eat more beans to lower your risk of heart disease.,['Combine everything in a large bowl. Chill for several hours before serving.'],"['1 (14.5 ounce) can kidney beans, drained and rinsed'
 '1 (15 ounce) can corn, drained' '1/2 cup chopped scallions'
 '1 (14.5 ounce) can tomatoes' '1/8 cup lime juice' '1 pinch chili powder']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,True,False
Japanese Zucchini and Onions,Zucchini and onions are stir fried with sesame seeds and teriyaki and soy sauces.,"['Warm the oil in a large skillet over medium heat. Stir in onions, and cook 5 minutes. Add zucchini, and cook, stirring, about 1 minute. Stir in teriyaki sauce, soy sauce, and sesame seeds. Cook until zucchini are tender, about 5 minutes. Stir in ground pepper, and serve immediately.']","['2 tablespoons vegetable oil' '1 medium onion, thinly sliced'
 '2 medium zucchinis, cut into thin strips' '2 tablespoons teriyaki sauce'
 '1 tablespoon soy sauce' '1 tablespoon toasted sesame seeds'
 'ground black pepper']",http://images.media-allrecipes.com/userphotos/560x315/1731115.jpg,True,False
Roasted Potatoes and Apples,"This delicious, slightly sweet dish is a hearty accompaniment to a fall meal.","['Preheat oven to 400 degrees F (200 degrees C). Lightly grease a 9x13 inch baking dish.'
 'Whisk together the vinegar, soy sauce, mustard, brown sugar, paprika, and salt in a large bowl until well mixed. Whisk in the olive oil until smooth, then add potatoes and apples, and toss to coat. Pour mixture into prepared baking dish.'
 'Bake in preheated oven until the potatoes are tender and golden brown, 30 to 35 minutes.']","['1/4 cup apple cider vinegar' '1 teaspoon soy sauce'
 '3 tablespoons brown sugar' '1 1/2 teaspoons yellow mustard'
 '1 tablespoon paprika' '1 teaspoon salt' '1/4 cup olive oil'
 '1 pound potatoes, scrubbed and cubed with skin'
 '1 pound apples, cored and cut into wedges']",http://images.media-allrecipes.com/userphotos/250x250/700080.jpg,True,False
Easy Steak Marinade,Here is a family-favorite marinade for flank steak.,"['Stir soy sauce, garlic, vegetable oil, red wine vinegar, and ground ginger in a bowl together until ginger is dissolved.']","['1/4 cup soy sauce' '3 cloves garlic, pressed'
 '2 tablespoons vegetable oil' '1 tablespoon red wine vinegar'
 '1/8 teaspoon ground ginger']",http://images.media-allrecipes.com/userphotos/560x315/1132327.jpg,True,False
Ornament Dough,These baked ornaments harden nicely so there is no overnight wait before decorating.,"['Preheat oven to 300 degrees F (150 degrees C).'
 'Combine the flour, salt and water; mix well and knead for 10 minutes. Roll out on a lightly floured surface.'
 'Cut into desired shapes and make holes for hanging. Bake for 30 minutes; allow to cool.'
 'Decorate with poster paints or tube paints. Allow to dry and spray with clear polyurethane on both sides to preserve. Use ribbon or yarn pieces to hang.']",['4 cups all-purpose flour' '1 cup salt' '1 1/2 cups water'],http://images.media-allrecipes.com/userphotos/560x315/1074974.jpg,True,False
Cajun Baked French Fries,"Amazing flavor and healthy too! Friends and family always rave about them, and they're even a hit with my 2 and 3 year old.","['Preheat oven to 400 degrees F (200 degrees C).'
 'Mix olive oil, garlic powder, onion powder, chili powder, Cajun seasoning, and sea salt in a large resealable bag. Add potatoes and toss to evenly coat with seasoned oil. Spread coated potatoes in 1 layer onto a baking sheet.'
 'Bake in the preheated oven for 35 minutes. Stir potatoes with a spatula and continue cooking until crisp, about 10 more minutes.']","['1/4 cup olive oil' '1 teaspoon garlic powder' '1 teaspoon onion powder'
 '1 teaspoon chili powder' '1 teaspoon Cajun seasoning'
 '1 teaspoon sea salt' '6 large baking potatoes, sliced into thin wedges']",http://images.media-allrecipes.com/userphotos/560x315/4460192.jpg,True,False
Party Punch,"A refreshing beverage with tropical flair. Party Punch is from Donna Long of Searcy, Arkansas.","['In a blender or food processor, blend the water, sugar and bananas until smooth. Pour into a large container. Add pineapple juice, orange juice and lemon juice; mix well. Freeze, stirring occasionally, until slushy. Add ginger ale when ready to serve.']","['3 cups warm water' '2 cups sugar' '3 ripe bananas, sliced'
 '1 (46 fluid ounce) can pineapple juice' '1 1/2 cups orange juice'
 '1/4 cup lemon juice' '3 liters ginger ale, chilled']",http://images.media-allrecipes.com/userphotos/250x250/646440.jpg,True,False
Cornmeal Mush,"This is a basic recipe for a very easy and versatile dish. You can eat it like hot cereal, or chill it and then fry it. This goes well with syrup as a breakfast dish, or with savory sauces and vegetables for dinner.","['Mix together cornmeal, water, and salt in a medium saucepan. Cook over medium heat, stirring frequently, until mixture thickens, about 5 to 7 minutes.'
 'If using as cereal, spoon mush into bowls and serve with milk and sugar, if desired. If frying, pour mixture into a loaf pan and chill completely. Remove from pan, cut into slices, and fry in a small amount of oil over medium-high heat until browned on both sides. Serve with sauce of your choice.']",['1 1/4 cups cornmeal' '2 1/2 cups water' '1/2 teaspoon salt'],http://images.media-allrecipes.com/userphotos/560x315/3278357.jpg,True,False
Mondi's Super Simple Chicken,"This recipe is a family favorite, particularly with my husband. It is easy to assemble and creates a fabulous aroma as it bakes. Serve with wild rice if desired.","['Preheat oven to 350 degrees F (175 degrees C).'
 'Place chicken breasts in a lightly greased 9x13 inch baking dish or roasting pan. Dot each breast with 1 tablespoon of butter or margarine, then season each breast with dried basil and garlic salt to taste.'
 'Bake at 350 degrees F (175 degrees C) for approximately 1 to 1 1/4 hours.']","['4 bone-in chicken breast halves, with skin' '4 tablespoons butter'
 '1 tablespoon dried basil' '1 teaspoon garlic salt']",http://images.media-allrecipes.com/userphotos/250x250/117495.jpg,False,True
Easy and Delicious Avocado Dip,This dip is amazing and goes great with Tostitos®... Your family and friends will love it. Ideal for parties.,"['Mash the avocados in a deep bowl. Mix in garlic, salt, and black pepper. Stir in sour cream until well-blended.']","['2 ripe avocados, peeled and pitted' '2 cloves garlic, minced'
 '1/4 teaspoon salt' '1/4 teaspoon ground black pepper'
 '1/4 cup sour cream']",http://images.media-allrecipes.com/userphotos/560x315/3668183.jpg,False,True
Basil Cream Sauce,"After a mad search on the net for a recipe for this sauce I had to create my own. This can be reheated in the microwave without the usual cream sauce defects. I just love the light green color and how well it displays over tri color or regular pasta, salmon and grilled chicken. I have been putting this on everything.","['In a food processor, combine basil and garlic. Begin processing, and pour in olive oil in a thin stream. Process for about 40 seconds, or until mixture begins to emulsify. Add pine nuts and Parmesan, then blend for 1 minute.'
 'Heat cream in a saucepan over low heat until simmering. Pour 1/2 of the hot cream into the processor with basil pesto, and pulse for 20 seconds to incorporate. Pour mixture back into cream, and simmer for 5 minutes, or until thickened.']","['2 cups fresh basil leaves' '4 cloves garlic, minced' '1/4 cup olive oil'
 '2 ounces pine nuts' '1/2 cup grated Parmesan cheese'
 'salt and pepper to taste' '1 pint light cream']",http://images.media-allrecipes.com/userphotos/250x250/238976.jpg,False,True
Stuffed Mushrooms III,Mushroom caps stuffed with a mixture of Italian cheeses and pesto.,"['Preheat oven to 375 degrees F (190 degrees C).'
 'Wash mushrooms, remove stems, hollow out and brush inside and out with olive oil.'
 'In a medium-size mixing bowl, combine cheese and pesto, reserving 1/4 cup Parmesan cheese for later. Stuff the cheese-pesto mixture into the mushroom caps. Arrange the caps on a cookie sheet. Sprinkle the mushrooms with the reserved Parmesan cheese.'
 'Bake for 25 to 30 minutes, or until the cheese is bubbling and brownish.']","['8 large fresh mushrooms' '1 tablespoon olive oil'
 '2 cups ricotta cheese' '3/4 cup grated Parmesan cheese'
 '3/4 cup shredded mozzarella cheese' '4 tablespoons pesto']",http://images.media-allrecipes.com/userphotos/560x315/291288.jpg,False,True
Spinach and Artichoke Dip,"This spinach dip is a huge hit at parties!  It has become one of our favorite appetizers to serve guests when we entertain.  Prepare ahead, but serve warm from the oven with fresh bread, crackers, chips, pita, etc.","['Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 1 quart baking dish.'
 'In a medium bowl, mix together artichoke hearts, spinach, mayonnaise, Parmesan cheese and 2 cups Monterey Jack cheese. Transfer mixture to the prepared baking dish, and sprinkle with remaining 1/2 cup of Monterey Jack cheese.'
 'Bake in the center of the preheated oven until the cheese is melted, about 15 minutes.']","['1 (14 ounce) can artichoke hearts, drained and chopped'
 '1 (10 ounce) package frozen chopped spinach, thawed and drained'
 '1 cup mayonnaise' '1 cup grated Parmesan cheese'
 '2 1/2 cups shredded Monterey Jack cheese']",http://images.media-allrecipes.com/userphotos/250x250/72047.jpg,False,True
